"filename", "language", "HTML", "TypeScript", "JSON with Comments", "YAML", "JSON", "CSS", "JavaScript", "Markdown", "Vue", "SCSS", "XML", "WebAssembly Text Format", "comment", "blank", "total"
"c:\Users\DELL\Desktop\bilibili\src\store\modules\user.ts", "TypeScript", 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 123
"c:\Users\DELL\Desktop\bilibili\src\styles\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2, 4
"c:\Users\DELL\Desktop\bilibili\src\styles\reset.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 170, 0, 0, 0, 24, 194
"c:\Users\DELL\Desktop\bilibili\src\utils\request.ts", "TypeScript", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 47
"c:\Users\DELL\Desktop\bilibili\src\views\404\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 4, 25
"c:\Users\DELL\Desktop\bilibili\src\views\account\blacklist\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 8, 105
"c:\Users\DELL\Desktop\bilibili\src\views\account\coin\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 5, 70
"c:\Users\DELL\Desktop\bilibili\src\views\account\face\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 5, 29
"c:\Users\DELL\Desktop\bilibili\src\views\account\face\upload\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 11, 133
"c:\Users\DELL\Desktop\bilibili\src\views\account\face\vip\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 4, 50
"c:\Users\DELL\Desktop\bilibili\src\views\account\home\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 220, 0, 0, 0, 0, 19, 239
"c:\Users\DELL\Desktop\bilibili\src\views\account\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 127, 0, 0, 0, 0, 9, 136
"c:\Users\DELL\Desktop\bilibili\src\views\account\setting\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 3, 87
"c:\Users\DELL\Desktop\bilibili\src\views\dynamic\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 1750, 0, 0, 0, 0, 103, 1853
"c:\Users\DELL\Desktop\bilibili\src\views\findPassword\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 171, 0, 0, 0, 0, 12, 183
"c:\Users\DELL\Desktop\bilibili\src\views\home\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 270, 0, 0, 0, 0, 29, 299
"c:\Users\DELL\Desktop\bilibili\src\views\live\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 214, 0, 0, 0, 0, 22, 236
"c:\Users\DELL\Desktop\bilibili\src\views\livingRoom\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 231, 0, 0, 0, 0, 18, 249
"c:\Users\DELL\Desktop\bilibili\src\views\myLivingRoom\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 285, 0, 0, 0, 0, 31, 316
"c:\Users\DELL\Desktop\bilibili\src\views\platform\danmuManager\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 5, 13
"c:\Users\DELL\Desktop\bilibili\src\views\platform\home\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 141, 0, 0, 0, 0, 11, 152
"c:\Users\DELL\Desktop\bilibili\src\views\platform\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 6, 56
"c:\Users\DELL\Desktop\bilibili\src\views\platform\markManager\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 156, 0, 0, 0, 0, 10, 166
"c:\Users\DELL\Desktop\bilibili\src\views\platform\menu\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 2, 86
"c:\Users\DELL\Desktop\bilibili\src\views\platform\upload\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 393, 0, 0, 0, 3, 38, 434
"c:\Users\DELL\Desktop\bilibili\src\views\platform\videoManager\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 17, 167
"c:\Users\DELL\Desktop\bilibili\src\views\space\collection\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 5, 13
"c:\Users\DELL\Desktop\bilibili\src\views\space\collector\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 5, 13
"c:\Users\DELL\Desktop\bilibili\src\views\space\dynamic\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 1303, 0, 0, 0, 0, 59, 1362
"c:\Users\DELL\Desktop\bilibili\src\views\space\fans\fan\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 9, 133
"c:\Users\DELL\Desktop\bilibili\src\views\space\fans\follow\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 9, 133
"c:\Users\DELL\Desktop\bilibili\src\views\space\fans\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 3, 57
"c:\Users\DELL\Desktop\bilibili\src\views\space\home\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 436, 0, 0, 0, 0, 48, 484
"c:\Users\DELL\Desktop\bilibili\src\views\space\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 257, 0, 0, 0, 0, 23, 280
"c:\Users\DELL\Desktop\bilibili\src\views\space\tougao\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 3, 50
"c:\Users\DELL\Desktop\bilibili\src\views\video\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 994, 0, 0, 0, 1, 94, 1089
"c:\Users\DELL\Desktop\bilibili\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\DELL\Desktop\bilibili\tsconfig.json", "JSON with Comments", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 32
"c:\Users\DELL\Desktop\bilibili\tsconfig.node.json", "JSON", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\DELL\Desktop\bilibili\vite.config.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 37
"Total", "-", 537, 1148, 26, 3265, 148, 2349, 100, 11, 9234, 171, 1, 36863, 236, 2799, 56888
